Sr.No.,Accord Code,Company name,CD_Industry,SC_Latest Market Cap,CD_BSE Code,CD_NSE Symbol,CD_ISIN No
848,100034,Bajaj Finance Ltd,Finance - NBFC,599123.58,500034,BAJFINANCE,INE296A01032
6653,111218,Shriram Finance Ltd,Finance - NBFC,233668,511218,SHRIRAMFIN,INE721A01047
3512,229365,JIO Financial Services Ltd,Finance - NBFC,156989.69,543940,JIOFIN,INE758E01017
7292,210850,Tata Capital Ltd,Finance - NBFC,149567.96,544574,TATACAP,INE976I01016
1483,111243,Cholamandalam Investment and Finance Company Ltd,Finance - NBFC,146981.67,511243,CHOLAFIN,INE121A01024
4671,221790,Muthoot Finance Ltd,Finance - NBFC,125218.02,533398,MUTHOOTFIN,INE414G01012
857,100490,Bajaj Holdings & Investment Ltd,Finance - NBFC,118179.24,500490,BAJAJHLDNG,INE118A01012
162,242461,Aditya Birla Capital Ltd,Finance - NBFC,104897.82,540691,ABCAPITAL,INE674K01013
3935,220350,L&T Finance Ltd,Finance - NBFC,71745.17,533519,LTF,INE498L01015
2858,218756,HDB Financial Services Ltd,Finance - NBFC,60916.43,544429,HDBFS,INE756I01012
6342,225051,SBI Cards And Payment Services Ltd,Finance - NBFC,57824.54,543066,SBICARD,INE018E01016
7075,190071,Sundaram Finance Ltd,Finance - NBFC,49983.96,590071,SUNDARMFIN,INE660A01013
4173,132720,Mahindra & Mahindra Financial Services Ltd,Finance - NBFC,40496.81,532720,M&MFIN,INE774D01024
5529,124000,Poonawalla Fincorp Ltd,Finance - NBFC,37486.44,524000,POONAWALLA,INE511C01022
3193,208414,Indian Renewable Energy Development Agency Ltd,Finance - NBFC,35761.51,544026,IREDA,INE202E01016
7302,101301,Tata Investment Corporation Ltd,Finance - NBFC,34336.5,501301,TATAINVEST,INE672A01026
4211,131213,Manappuram Finance Ltd,Finance - NBFC,29997.7,531213,MANAPPURAM,INE522D01027
5474,100302,Piramal Enterprises Ltd - (Amalgamated),Finance - NBFC,25492.17,500302,PEL,INE140A01024
3113,132636,IIFL Finance Ltd,Finance - NBFC,22710.23,532636,IIFL,INE530B01024
1653,221842,CreditAccess Grameen Ltd,Finance - NBFC,21950.75,541770,CREDITACC,INE741K01010
3094,132659,IDFC Ltd - (Amalgamated),Finance - NBFC,17279.83,532659,IDFC,INE043D01016
2297,278701,Five-Star Business Finance Ltd,Finance - NBFC,14640.92,543663,FIVESTAR,INE128S01021
6652,132498,Shriram City Union Finance Ltd -  (Amalgamated),Finance - NBFC,12894.93,532498,SHRIRAMCIT,INE722A01011
1004,210779,Bharat Financial Inclusion Ltd - (Amalgamated),Finance - NBFC,12596.98,533228,BHARATFIN,INE180K01011
2034,132922,Edelweiss Financial Services Ltd,Finance - NBFC,12058.81,532922,EDELWEISS,INE532F01054
6337,287490,SBFC Finance Ltd,Finance - NBFC,9932.54,543959,SBFC,INE423Y01016
3170,132544,Indiabulls Financial Services Ltd,Finance - NBFC,8509.68,532544,INDIABULLS,INE894F01025
955,219234,Bengal & Assam Company Ltd,Finance - NBFC,7298.5,533095,BENGALASM,INE083K01017
1845,101945,Dhenu Buildcon Infra Ltd,Finance - NBFC,6289.82,501945,,INE758D01027
1353,200040,Capital First Ltd - (Amalgamated),Finance - NBFC,5820.51,532938,CAPF,INE688I01017
2261,221267,Fedbank Financial Services Ltd,Finance - NBFC,5676.08,544027,FEDFINA,INE007N01010
4293,226625,MAS Financial Services Ltd,Finance - NBFC,5643.2,540749,MASFIN,INE348L01012
5301,132900,Paisalo Digital Ltd,Finance - NBFC,5406.2,532900,PAISALO,INE420C01059
5212,322110,OnEMI Technology Solutions Ltd,Finance - NBFC,4795.87,544754,KISSHT,INE12F801023
5108,235594,Northern ARC Capital Ltd,Finance - NBFC,4684.33,544260,NORTHARC,INE850M01015
2166,243712,Equitas Holdings Ltd - (Amalgamated),Finance - NBFC,4098.06,539844,EQUITAS,INE988K01017
817,287782,AYE Finance Ltd,Finance - NBFC,3979.4,544699,AYE,INE501X01029
3228,233932,Indostar Capital Finance Ltd,Finance - NBFC,3956.41,541336,INDOSTAR,INE896L01010
6426,225036,SG Finserve Ltd,Finance - NBFC,3842.01,539199,SGFIN,INE618R01015
4672,283733,Muthoot Microfin Ltd,Finance - NBFC,3439.68,544055,MUTHOOTMF,INE046W01019
635,224205,Ashika Credit Capital Ltd,Finance - NBFC,2897.05,543766,ASHIKA,INE094B01013
2354,273557,Fusion Finance Ltd,Finance - NBFC,2875.96,543652,FUSION,INE139R01012
